id,title,duration,bpm,release_date,rank,album_id,album_title,album_release_date,album_genres,album_label,album_duration,album_nb_fan,album_record_type,artist_id,artist_name,artist_nb_album,artist_nb_fan
92734438,Uptown Funk (feat. Bruno Mars),270,114.8,2015-01-12,982559,9411436,Uptown Special,2015-01-13,Pop,Columbia,2324,74303,album,13204,Mark Ronson,75,753453
105356142,Run Away With Me,251,119.15,2015-08-21,17810,11152540,Emotion (Deluxe),2015-09-25,Pop,Silent Records IGA,3250,7762,album,1002521,Carly Rae Jepsen,45,2508652
642966492,So Am I,184,130.01,2019-03-07,751635,89263772,So Am I,2019-03-07,Pop,Atlantic Records,184,29689,single,12948083,Ava Max,111,1226502
422202502,Too Good At Goodbyes,201,91.88,2017-11-03,849492,50607242,The Thrill Of It All (Special Edition),2017-11-03,Pop,PLG - Capitol,2970,112134,album,1097709,Sam Smith,107,5578740
78391993,Wherever You Will Go,197,112.0,2015-01-27,516034,7797039,Wherever You Will Go,2014-05-19,Pop,Peacefrog Records,380,1816,single,507710,Charlene Soraia,13,6565
675340152,La Cintura (Remix),178,99.86,2019-05-10,573001,95829572,Mar De Colores (Versión Extendida),2019-05-10,Pop|Latino,Airforce1,3399,8873,album,7688746,Alvaro Soler,55,480282
447098062,Never Be the Same,227,130.01,2018-01-12,794813,54496412,Camila,2018-01-12,Pop,Syco Music/Epic,2214,200797,album,9236850,Camila Cabello,40,3900209
1995835447,2002,187,95.93,2022-12-02,419388,372136177,Happy Songs,2022-12-02,Pop,Warner Music Group - X5 Music Group,4785,22,album,6396188,Anne-Marie,129,1865650
94453310,Break the Rules,203,124.16,2015-02-13,476444,9662254,SUCKER,2014-12-15,Pop,Asylum,2820,1271,album,1462230,Charli xcx,116,1885330
1118026772,That's Us,270,0.0,2020-10-27,506297,181418642,That's Us,2020-10-27,Singer & Songwriter,Seabra Songs,270,314,single,14598737,Anson Seabra,27,33791
107369616,Moves Like Jagger,201,128.0,2015-09-25,636633,11195154,Singles,2015-09-25,Pop,Interscope Records*,2623,72489,album,1188,Maroon 5,65,11406009
62724019,When I Was Your Man,213,146.1,2012-12-07,949124,6157080,Unorthodox Jukebox,2012-12-05,Pop,Atlantic Records,2091,743689,album,429675,Bruno Mars,36,12769566
142844852,Slide (feat. Frank Ocean & Migos),231,103.88,2017-02-24,725338,15456508,Slide (feat. Frank Ocean & Migos),2017-02-24,Electro|Techno/House|Dance|Rap/Hip Hop|Pop,Columbia,231,39545,single,12178,Calvin Harris,159,12317894
83837260,One Last Time,197,0.0,2014-08-25,604203,10047454,Kendji,2015-05-04,Pop,Universal Music Division Polydor France,3647,190440,album,1562681,Ariana Grande,72,13417237
396444872,Dancing On My Own,260,112.65,2017-08-25,2475,104825,Beat It,2008-01-01,Alternative,Island Records,814,7584,single,9811408,Calum Scott,82,492122
415370102,Mine,133,143.06,2017-10-12,671341,49544762,Mine,2017-10-12,Pop,ZZZ Entertainment,133,32904,single,5484712,Bazzi,42,279843
518485472,Be Alright,196,126.82,2018-06-29,866041,66647762,Be Alright,2018-06-29,Singer & Songwriter,Universal Music Australia Pty. Ltd.,196,33984,single,6401240,Dean Lewis,74,420699
803010392,everything i wanted,245,119.84,2019-11-14,890681,118529282,everything i wanted,2019-11-14,Alternative,Darkroom/Interscope Records,245,83238,single,9635624,Billie Eilish,32,9243395
538085632,Peach,255,110.84,2018-08-08,434623,70130302,Peach,2018-08-08,Alternative,Neon Gold/Atlantic,255,446,single,5415656,Broods,35,44512
8011849,Grenade,222,0.0,2010-05-11,913195,739505,Doo-Wops & Hooligans,2010-10-05,Pop,Elektra (NEK),2521,578044,album,429675,Bruno Mars,36,12769566
391786232,Meant to Be (feat. Florida Georgia Line),163,154.27,2017-08-11,631271,45854242,All Your Fault: Pt. 2,2017-08-11,Pop,Warner Records,1172,29169,ep,4492087,Bebe Rexha,129,1832653
498130042,Girls Like You (Cardi B Version),236,124.91,2018-05-31,845497,63272252,Girls Like You,2018-05-31,Pop,Interscope Records*,236,169818,single,1188,Maroon 5,65,11406009
1118067372,I Can't Carry This Anymore,200,0.0,2020-10-27,457613,181424672,I Can't Carry This Anymore,2020-10-27,Singer & Songwriter,Seabra Songs,200,427,single,14598737,Anson Seabra,27,33791
61424044,Can't Hold Us (feat. Ray Dalton),258,146.09,2012-10-09,998821,6019334,The Heist,2012-10-09,Rap/Hip Hop,Macklemore,3848,384279,album,152291,Macklemore,32,986642
14525574,We Found Love (Album Version),216,128.0,2011-11-21,983931,1335314,Talk That Talk (Deluxe),2011-11-21,Pop,Def Jam Recordings,2943,376263,album,564,Rihanna,94,18031553
5639256,Désolé,204,95.9,2010-03-29,905886,514869,L'école des points vitaux,2010-03-29,Rap/Hip Hop,Jive Epic,4502,283282,album,75001,Sexion d'Assaut,14,2636095
28852751,Starships,210,0.0,2012-05-15,945969,2732901,Pink Friday ... Roman Reloaded (Deluxe),2012-05-15,Rap/Hip Hop,Nicki Minaj/Cash Money,4561,94605,album,382937,Nicki Minaj,94,7402806
62766452,On se connaît,273,95.9,2012-01-01,947621,6160538,On se connaît,2012-01-01,Rap/Hip Hop|Rap français,Bomaye musik,1355,44359,ep,13020,Youssoupha,76,986972
62847142,Titanium (feat. Sia),245,126.05,2012-12-07,956365,6168389,Nothing but the Beat (Ultimate Edition),2012-12-07,Dance,Parlophone (France),5794,694822,album,542,David Guetta,395,20097458
134533238,Cheap Thrills (feat. Sean Paul),224,179.76,2016-10-21,711831,14345648,This Is Acting (Deluxe Version),2016-10-21,Pop,Monkey Puzzle Records/RCA Records,4448,226794,album,3469,Sia,154,8708301
89077555,Shake It Off,219,160.25,2014-10-27,915715,9007781,1989 (Deluxe),2014-10-27,Pop,Taylor Swift,4122,151147,album,12246,Taylor Swift,123,12713281
5639255,Wati by Night,249,114.8,2010-03-29,961517,514869,L'école des points vitaux,2010-03-29,Rap/Hip Hop,Jive Epic,4502,283282,album,75001,Sexion d'Assaut,14,2636095
1254389442,Stereo Love,247,0.0,2009-07-07,801937,209997592,Stereo Love,2009-07-07,Electro|Dance,2009 Cat Music,247,2935,single,293767,Edward Maya,274,173177
569166532,Lean On,177,97.97,2018-10-19,667610,75816422,Major Lazer Essentials,2018-10-19,Electro,Third Pardee Records,5354,23339,album,282118,Major Lazer,119,7651003
8086130,Set Fire to the Rain,242,0.0,2011-01-24,938361,746059,21,2011-02-22,Pop,XL Recordings,2882,857702,album,75798,Adele,20,15462829
79589178,Loca (feat. El Cata),185,112.0,2010-10-19,829194,7927764,Sale el Sol,2010-10-19,Pop,Sony Music Latin/Epic,2967,75608,album,160,Shakira,71,11697128
61142285,Feel So Close (Radio Edit),206,0.0,2012-10-29,863666,5988249,18 Months,2012-10-26,Dance,Columbia,3006,244049,album,12178,Calvin Harris,159,12317894
6461440,Love The Way You Lie,263,173.7,2010-06-21,932417,595243,Recovery,2010-01-01,Rap/Hip Hop,Eminem Catalog PS,4626,449956,album,13,Eminem,67,19098403
14235829,I Follow Rivers (The Magician Remix),279,121.96,2011-10-10,721294,1306557,I Follow Rivers (The Magician Remix),2011-10-10,Alternative,Atlantic Records,279,22319,single,72503,Lykke Li,56,677988
101764813,On verra,211,0.0,2015-06-08,910193,10565677,Feu,2015-06-23,Rap/Hip Hop,Universal Music Division Barclay,4757,452031,album,1412564,Nekfeu,20,2893378
14948701,Danza Kuduro,199,130.0,2010-11-16,549090,1378614,Meet The Orphans,2010-11-16,Rap/Hip Hop|Latino,UMLE - Machete,3834,43504,album,725,Don Omar,70,4033976
65232772,Good Feeling,248,128.0,2012-06-22,855976,6393486,Wild Ones,2012-06-22,Rap/Hip Hop,Poe Boy/Atlantic,2262,35295,album,64333,Flo Rida,174,4737005
576822202,Cosmo,183,146.09,2015-08-21,888786,77126682,Cosmopolitanie (Deluxe Edition),2015-08-21,Rap/Hip Hop,Rec. 118,5452,50069,album,13011,Soprano,70,3136861
1703487577,As It Was,167,0.0,2022-03-31,969095,307085627,As It Was,2022-03-31,Pop,Columbia,167,29313,single,5313805,Harry Styles,7,2191446
1425844092,STAY,140,0.0,2021-07-09,943988,242430582,STAY,2021-07-09,Alternative|Pop Indé|Pop|Pop indé/Folk,Columbia,140,32314,single,51204222,The Kid Laroi,55,451324
973995902,Heat Waves,238,0.0,2020-06-29,25164,835424222,school mornings in fall,2025-10-17,Pop,UME - Global Clearing House,6255,77,album,2489131,Glass Animals,42,321748
2801558052,BIRDS OF A FEATHER,210,0.0,2024-05-17,963029,586786102,HIT ME HARD AND SOFT,2024-05-17,Alternative,Darkroom/Interscope Records,2629,194805,album,9635624,Billie Eilish,32,9243395
2947516331,Die With A Smile,250,0.0,2024-08-16,997757,629506181,Die With A Smile,2024-08-16,Pop,Interscope,250,28129,single,75491,Lady Gaga,98,9264181
2610711672,Beautiful Things,180,0.0,2024-01-18,963402,531687612,Beautiful Things,2024-01-18,Pop,"Night Street Records, Inc./Warner Records Inc.",180,16760,single,146543992,Benson Boone,28,496543
2105158337,Flowers,200,0.0,2023-01-13,966114,395674277,Flowers,2023-01-13,Pop,Columbia,200,27025,single,12436,Miley Cyrus,61,7234470
2743578151,Espresso,175,0.0,2024-04-12,979835,571147791,Espresso,2024-04-12,Pop,Island Records,175,12757,single,1176900,Sabrina Carpenter,59,1808909
2055292027,Kill Bill,153,0.0,2022-12-09,830568,383703577,SOS,2022-12-09,R&B,Top Dawg Entertainment/RCA Records,4078,86243,album,5531258,SZA,42,1327007
1457025872,Cold Heart (PNAU Remix),203,0.0,2021-08-13,906302,249925992,Cold Heart (PNAU Remix),2021-08-13,Pop,EMI,203,43900,single,413,Elton John,103,2991899
908604632,Save Your Tears,215,118.12,2020-03-20,955918,137217782,After Hours,2020-03-20,R&B,Republic Records,3377,188460,album,4050205,The Weeknd,86,14666213
1122450992,DÁKITI,204,0.0,2020-10-30,981990,182383222,DÁKITI,2020-10-30,Latino,Rimas Entertainment LLC.,204,32227,single,10583405,Bad Bunny,88,7982199
1874467717,I'm Good (Blue),175,0.0,2022-08-26,875824,348202627,I'm Good (Blue),2022-08-26,Dance,Parlophone UK,394,11627,single,542,David Guetta,395,20097458
2312663495,Lose Control,210,0.0,2023-06-23,880056,449089625,Lose Control,2023-06-23,Pop,Warner Records,210,5862,single,64927672,Teddy Swims,75,418015
1749916957,I Ain't Worried,148,0.0,2022-05-13,777353,318263717,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,Pop,Interscope Records,148,3078,single,74398,OneRepublic,104,4343073
3050380851,APT.,169,0.0,2024-10-18,992741,658285691,APT.,2024-10-18,Pop,Atlantic Records,169,34572,single,126335112,ROSÉ,6,558874
1493915862,MONTERO (Call Me By Your Name),137,0.0,2021-09-17,706467,258772832,MONTERO,2021-09-17,Pop,Columbia,2474,112191,album,15166511,Lil Nas X,37,1727616
1409072752,Bad Habits,230,0.0,2021-06-25,920163,238407992,Bad Habits,2021-06-25,Pop,Atlantic Records UK,230,24237,single,384236,Ed Sheeran,154,20903429
2338371075,One Of The Girls,245,0.0,2023-06-23,949148,456489535,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,Films/Jeux vidéo|Musiques de films,XO / Republic Records,640,10050,ep,4050205,The Weeknd,86,14666213
2704610682,Too Sweet,251,0.0,2024-03-22,958340,560433462,Unheard,2024-03-22,Folk,Rubyworks / Universal-Island Records Ltd.,840,7730,ep,5062414,Hozier,30,1409413
2783963122,Not Like Us,274,0.0,2024-05-04,902826,582140742,Not Like Us,2024-05-04,Rap/Hip Hop,"Kendrick Lamar, under exclusive license to Interscope Records",274,26730,single,525046,Kendrick Lamar,40,6165186
1753549417,La Bachata,162,0.0,2022-05-26,808813,319173587,La Bachata,2022-05-26,Rap/Hip Hop|Pop|Latino,Sony Music Latin/La Industria,162,8171,single,11559031,Manuel Turizo,101,1565092
1200359872,Your Love (9PM),150,0.0,2021-01-15,718583,198276362,Your Love (9PM),2021-01-15,Dance,Intercord,150,3957,single,147,ATB,83,319363
1411181832,Pepas,284,0.0,2021-06-24,922750,238972342,Pepas,2021-06-24,Rap/Hip Hop|Pop,Sony Music Latin,284,24594,single,614223,Farruko,297,3308551
1439691952,INDUSTRY BABY,214,0.0,2021-07-23,871042,245878832,INDUSTRY BABY,2021-07-23,Rap/Hip Hop|Pop,Columbia,214,50280,single,15166511,Lil Nas X,37,1727616
1682954137,Bones,165,0.0,2022-03-11,881701,302204417,Bones,2022-03-11,Alternative,KIDinaKORNER/Interscope Records,165,19435,single,416239,Imagine Dragons,62,9521668
1873297197,Calm Down,239,0.0,2022-08-25,964972,347960617,Calm Down,2022-08-25,,Mavin Records / Jonzing World,239,24575,single,5259966,Rema,74,570416
2047662477,Creepin',221,0.0,2022-12-02,898533,382760377,HEROES & VILLAINS,2022-12-02,Rap/Hip Hop,Republic Records,2875,94350,album,4968870,Metro Boomin,27,753881
1905751117,Unholy,157,0.0,2022-09-22,848396,354846457,Unholy,2022-09-22,Pop,Capitol Records UK / EMI,157,15149,single,1097709,Sam Smith,107,5578740
2387406055,Vois sur ton chemin (Techno Mix),178,0.0,2023-08-04,886895,469918965,Vois sur ton chemin (Techno Mix),2023-08-04,Electro|Dance,Warner Music Central Europe,178,8566,single,4418036,Bennett,19,31027
1118156702,positions,172,0.0,2020-10-23,18472,400632157,Pistol (Positions Remake),2023-01-25,Pop,Osyris Music Goup,172,0,single,1562681,Ariana Grande,72,13417237
2706736172,i like the way you kiss me,142,0.0,2024-03-19,922796,560929292,i like the way you kiss me,2024-03-19,Alternative|Pop,Artemas,142,9453,single,13425147,Artemas,47,59747
2846442802,Si Antes Te Hubiera Conocido,195,0.0,2024-06-21,981639,601338932,Si Antes Te Hubiera Conocido,2024-06-21,Latino,Bichota/Interscope Records,195,12936,single,5297021,KAROL G,76,3408726
2930315691,No Broke Boys,133,0.0,2024-08-16,38815,982327681,Quantum Baby,2024-08-16,R&B,Nice Life,1325,62,album,345052,Tinashe,76,518805
3038020371,Guess featuring billie eilish,143,0.0,2024-10-11,485317,654424131,Brat and it’s completely different but also still brat,2024-10-11,Dance,Atlantic Records,4339,13884,album,1462230,Charli xcx,116,1885330
2643618032,The Sound of Silence (CYRIL Remix),185,0.0,2024-02-02,968540,542122462,The Sound of Silence (CYRIL Remix),2024-02-02,Dance,Spinnin' Records,185,30093,single,2127,Disturbed,46,1505839
